texts,created_at,location
"@DennisCricket_ Is it for safety or straight out bigotry? Terrorism from Palestinians against Jews in rampant there. 

And this is hypocritical considering how Muslims think Jews will desecrate Al-Aqsa mosque if they pray in it. https://t.co/GEYAG7FsAl",2022-10-06,
@mooniter Muslims all over the world can look at these scenes with utter greed!!!! https://t.co/1XqGduCW0n,2022-10-06,
@OnProgram Ps. My muslim family said 🖕🏽,2022-10-06,
"@enorganikadam @srdrd_72 @enorganikadam what is the value of life according to you Islam says death is like long sleeping ,you don't get bored from sleeping , when you wake up you feel like you slept 2 seconds although you slept 8 hrs.
And the story of the people of the cave who died for 100 years",2022-10-06,
@1Obefiend @IsmailSabri60 Such much for Hadi Bawang rhetoric defending Islam,2022-10-06,
"@LaRealSultana Looks like it might be ""Ashura"", day of mourning the martyrdom of Hussein, a grandson of the Prophet Muhammad. Some Shia Muslims do it by slapping/hitting themselves, although self-harm isn't officially allowed in Islam.",2022-10-06,
@beingharleen @steve_hanke Who the police who punish them on street rather to arrest then present them in court.. Its against law &amp; against Muslim #Shame,2022-10-06,Pakistan
"What makes these kids so comfortable talking nonsense?
We don't know about Iran except that it is a country that claims its lineage to Muslims, not a Muslim nation.
Do you have another opinion?
Put it in your mouth and drink water, Iran isn't Islamic and you are just gossiping... https://t.co/nWljEoGNkT",2022-10-06,𝑻𝑨𝑶𝑯𝑨𝑵'𝒔 𝒔𝒑𝒂𝒎𝒎𝒆𝒓
"How's are intelligence confederate communities doing btw? Some exciting things coming out of their communities, I blame the zoinist nazi-jews &amp; muslims for the fall of our international racist church's 
https://t.co/fKFB2P996t",2022-10-06,
"@AliAbdelaziz00 Damn Ali, if I was a hater you’d reply to me lol. But yeah Ideal world Conor v Islam to see you all again and I bet you saw the best father and son relationship between Khabib and his father. Also fuck the hate, your fighters stay looked after",2022-10-06,
@LifeByStills @visegrad24 The Uyghurs are a Muslim minority and on the screenshot you can see that Arab - African countries are against a support. Even Indonesia being Muslim is against a support why?,2022-10-06,
"8PM ET Final Straw Radio
#Islam and #Anarchism with #MohamedAbdou 
Activate Radio https://t.co/6hOC2CeNel
#boston #cambridge #dorchester #mattapan #roxbury #jamaicaplain #lowell #worcester #fallriver #springfield #bospoli #mapoli #independent #activist #radio https://t.co/21ZhMonwey",2022-10-06,"Boston, MA"
"@jnewin10 act really serious and be like, ""I'm Muslim~"" 
they'll get all nervous lol",2022-10-06,구멍
"Video: U.N. body rejects debate on China’s treatment of Uyghur Muslims
https://t.co/TbtD1jDMci",2022-10-06,"London, UK"
ugh I love Qatar for this. Why can’t other Muslim countries have a backbone like this https://t.co/8ojZk45W8E,2022-10-06,location 
"Born Muslim. Family is mixed (ethnically) so we don’t follow any specific culture … Even so,  I wanna marry a revert cause South Asians are just way too much for me 🤷🏻‍♂️ https://t.co/8F13V8wLcZ",2022-10-06,Cape Town and Istanbul
@JaipurDialogues 1879-1979 Iran changed to Islam. India needs long term visionary thinker to take action against threats facing character of nation. 1920-2022 =102 years shld now reverse back. Democratic Thailand has monarchy so she has retained culture. Japan lost monarchy influence post ww2.,2022-10-06,
@greedyarabian @h2triple0 @ArabSharqawi @NoContextMuzzy why is that relevant to mention? nobody cares where they are from. They are Muslims and thats all that matters,2022-10-06,
@joshrogin @Kemlu_RI betrays muslims,2022-10-06,
@RmSalih No one is giving a rat's ass to the death-cult of Islam and to Allah and to the pedophile mad man who wrote the Quran! Islam is a zombie generating brain-f..king virus that infects the mind of people and turns them into apologists for murder and rape!,2022-10-06,
@PChidambaram_IN Typical congress reaction. No word about muslims creating disturbance during hindu festival. When those muslims are punished by public you start weeping. Shame on you.,2022-10-06,"Dharwad , Karnataka , India "
"@MRobertsQLD Yes...she should do. Much lower scale than a FC president tho'.
Also, its not Muslims that are actively trying to take over Australia. It's #Christofascist loons.",2022-10-06,
"Women’s hearts are soft, easily hurt. Don’t play with her feelings, because the real man never hurt and make the woman cry. In Islam men are the guardians of women.”🤍

(Surah An-Nisa’ 4:34 )",2022-10-06, 🧕 DM  when necessary 🙏
"Fox's Brian Kilmeade absurdly claims that ""every solar panel you get from China is made by Muslim, Uyghur slave labor.""
 https://t.co/Od9nQUtSQ5",2022-10-06,"Delray Beach, FL"
@GBNEWS Please stop sending aid. You will need it to support your ever growing Muslim population.,2022-10-06,Lemuria
@ashoswai Why are u saying muslims. Use words stone throers houses bulldozed. Do u think u will be garlended n ur photo will be worshipped by them.,2022-10-06,"Hyderabad, India"
"@MohanKrishnaku5 @kunthavi05 @suryaxavier1 Is caste baggage being carried over even after conversion an Indian phenomenon or universal? How about this elsewhere in other parts of world?
Are there divisions in Christianity &amp; Islam in their motherlands?
Pl let me know",2022-10-06,
@SirGTully @RoemeltA @fridayjams @calvinrobinson No but you've been blaming Christians and defending Muslims then pretend to be an atheist.,2022-10-06,Cymru ♡
@enorganikadam @srdrd_72 Arab culture is Islam who hates Arab culture indeed he hates Islamic culture because Arab culture reflects the religion of Islam and based on it.,2022-10-06,
"@drschnei @kevinmyoung “Christians” may do that, but many Christians do not. Just as some “Muslims” may advocate terrorism, many/most do not. In most areas, the religious fringe catching headlines distort peoples’ views of others in the same faith tradition.",2022-10-06,United States
"@RmSalih Islam and your Allah are disgusting enough, we don’t bother to insult it, we just toss in the garbage.",2022-10-06,
"@RmSalih Guess what, we don’t give a rat’s ass of how you look at us! How do you feel about mullahs shooting Muslims during their Friday prayers? Does that move anything in you? Our hair makes you jump up but blood of an innocent muslim child isn’t doing anything? Shame on you!",2022-10-06,
"Shameful, disgraceful to all #Muslims countries who are witnessing documented genocide. Starvation, killings, disappearance by  CCP. No humanity #UyghurGenocide https://t.co/Pf3sSViSKh",2022-10-06,
"@steve_hanke invite some of them n wait for Good time
If you dont have knwldg
about Love Jihad Land Jihad then Dont interfere why you not speak about Victim hindus
Ydway U your twit does not mtrs
Muslims mens were hiding their ID n participate hindu Cultured program n Abused Hindu Minor Girls",2022-10-06,Brahamand
@cowestpro I hate it when these people don’t agree with Muslims say and just assume Muslims are lying or evil.,2022-10-06,Stolen Wurundjeri Land
"@Tanks199 @frc020 @UrvaAK_ @Tanks199 “Allah” means “The God”, meaning He is everyone’s God.  And “God bless you” is a general term used by most Muslims, christians, Jews and even others",2022-10-06,ساراجہاں
What if Muhammad knew the name of the Creator of the Universe was “Sharif” so he decided to make sure Islam reverence the name “Sharif” as holy for infinity and beyond,2022-10-06,St.Louis City 
